Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Image Src,Image Alt Text,Status
probiotics-placeholder,Probiotic Blend 50 Billion CFU - Sample Product,<p>Multi-strain probiotic formula for digestive health and gut balance.</p>,Pharmacy Innovations,Probiotics,"Probiotics, Digestive Support, Supplements",TRUE,Size,Default,SKU-PROBIO-001,80,shopify,deny,manual,34.99,,TRUE,,,active
respiratory-health-placeholder,Respiratory Support - Sample Product,<p>Lung and respiratory health formula with NAC and herbal extracts.</p>,Pharmacy Innovations,Respiratory Health,"Respiratory Health, Health & Wellness",TRUE,Size,Default,SKU-RESP-001,100,shopify,deny,manual,28.99,,TRUE,,,active
sexual-wellness-placeholder,Sexual Wellness - Sample Product,<p>Natural formula to support sexual health and vitality.</p>,Pharmacy Innovations,Sexual Wellness,"Sexual Wellness, Specialized Health",TRUE,Size,Default,SKU-SEXUAL-001,90,shopify,deny,manual,36.99,,TRUE,,,active
sleep-support-placeholder,Sleep Support Melatonin Complex - Sample Product,<p>Natural sleep aid with melatonin magnesium and L-theanine for restful sleep.</p>,Pharmacy Innovations,Sleep Support,"Sleep Support, Health & Wellness",TRUE,Size,Default,SKU-SLEEP-001,85,shopify,deny,manual,19.99,,TRUE,,,active
stress-support-placeholder,Stress Relief Formula - Sample Product,<p>Adaptogenic blend with ashwagandha and L-theanine for stress management.</p>,Pharmacy Innovations,Stress,"Stress, Health & Wellness",TRUE,Size,Default,SKU-STRESS-001,90,shopify,deny,manual,25.99,,TRUE,,,active
vision-support-placeholder,Vision Support - Sample Product,<p>Eye health formula with lutein zeaxanthin and bilberry extract.</p>,Pharmacy Innovations,Vision Support,"Vision Support, Health & Wellness",TRUE,Size,Default,SKU-VISION-001,80,shopify,deny,manual,29.99,,TRUE,,,active
vitamins-minerals-placeholder,Daily Multivitamin - Sample Product,<p>Complete daily multivitamin with essential vitamins and minerals.</p>,Pharmacy Innovations,Vitamins & Minerals,"Vitamins & Minerals, Supplements",TRUE,Size,Default,SKU-VITMIN-001,130,shopify,deny,manual,24.99,,TRUE,,,active
weight-management-placeholder,Weight Management Support - Sample Product,<p>Natural weight management formula to support healthy metabolism.</p>,Pharmacy Innovations,Weight Management,"Weight Management, Health & Wellness",TRUE,Size,Default,SKU-WEIGHT-001,100,shopify,deny,manual,33.99,,TRUE,,,active
womens-health-placeholder,Women's Daily Multivitamin - Sample Product,<p>Complete multivitamin designed specifically for women's health needs.</p>,Pharmacy Innovations,Women's Health,"Women's Health, Specialized Health",TRUE,Size,Default,SKU-WOMENS-001,120,shopify,deny,manual,32.99,,TRUE,,,active
workout-supplement-placeholder,Pre-Workout Formula - Sample Product,<p>Energy and performance blend for exercise and athletic performance.</p>,Pharmacy Innovations,Workout,"Workout, Energy Boosters, Supplements",TRUE,Size,Default,SKU-WORKOUT-001,200,shopify,deny,manual,37.99,,TRUE,,,active
